name,scope,category,input_modality,modality_tags,architecture,architecture_tags,modelling_paradigm_key,modelling_paradigm,downstream_tasks,task_tags,openness_label,openness,openness_text,paper_url,code_url,weights_url,project_url,training_scale,fm_strength,notes,id,primary_source_url
TerraMind,Earth observation foundation model,Multimodal / generative EO FM,"9 geospatial modalities. Reported sources include Sentinel-1 SAR, Sentinel-2 optical, land-use/land-cover, NDVI/vegetation, DEM/elevation, geographic coordinates, and text/captions.",optical; SAR; DEM; text,4M-style any-to-any multimodal masked modeling; symmetric Transformer encoder-decoder; dual-scale token-level and pixel-level training; supports Thinking-in-Modalities generation.,Transformer; MAE/MIM; Diffusion/Generative,generative_hybrid,Any-to-any generative / hybrid multimodal system,"9 PANGAEA benchmark tasks: wildfire burn-scar segmentation, marine debris/oil-spill segmentation, agricultural parcel/crop segmentation, flood/water-body segmentation, urban land-cover segmentation, DynamicEarthNet land-cover segmentation, crop-type mapping in South Sudan, SpaceNet7 building/change detection, AI4SmallFarms agricultural segmentation. Also reports zero-shot / generative tasks: land-use segmentation, water-body mapping, vegetation mapping, geolocation, captioning, text-to-image, and modality-to-modality generation.",semantic segmentation; land-cover mapping; crop-type mapping; change detection; flood mapping; burn-scar mapping; water-body mapping; zero-shot classification; captioning,Open,open,"Open source: model weights, code, and pretraining dataset reported as open/permissive.",https://arxiv.org/abs/2504.11171,https://github.com/IBM/terramind,,,Pretrained on >500B tokens; TerraMesh dataset around 9M samples. Large/base variants reported; training used large-scale GPU/HPC setup.,Strong EO FM,"One of the strongest current EO FMs because it is multimodal, generative, benchmarked, and open.",terramind,https://arxiv.org/abs/2504.11171
Copernicus-FM,Earth observation foundation model,Vision / multimodal EO FM,"5 major Copernicus/Sentinel streams plus DEM: Sentinel-1 SAR, Sentinel-2 MSI, Sentinel-3 OLCI, Sentinel-5P atmospheric products, DEM/non-spectral metadata.",optical; SAR; DEM; climate,Extension of DOFA using dynamic hypernetworks and flexible metadata encodings; ViT-style backbone with sensor-aware dynamic patch embedding.,Transformer,transformer_masked,Transformer / masked-reconstruction encoder,"15 Copernicus-Bench hierarchical tasks: Cloud-S2 segmentation, Cloud-S3 segmentation, EuroSAT-S1 classification, EuroSAT-S2 classification, BigEarthNet-S1 classification, BigEarthNet-S2 classification, LC100Cls-S3 classification, DFC2020-S1 segmentation, DFC2020-S2 segmentation, LC100Seg-S3 segmentation, Flood-S1 change detection, LCZ-S2 classification, Biomass-S3 regression, AQ-NO2-S5P regression, AQ-O3-S5P regression.",semantic segmentation; scene classification; multi-label classification; change detection; flood mapping; regression / estimation,Open,open,"Open source: paper reports code, datasets, and model release.",https://arxiv.org/abs/2503.11849,https://github.com/zhu-xlab/Copernicus-FM,,,"Copernicus-Pretrain: 18.7M aligned images, about 920B pixels; joint subset around 220K geospatial grids used in reported ViT-Base pretraining.",Strong EO FM,Broadest Sentinel-specific FM row; includes atmosphere as well as surface tasks.,copernicus-fm,https://arxiv.org/abs/2503.11849
AnySat,Earth observation foundation model,Vision / multimodal EO FM,"11 distinct modalities/sensors: aerial RGB/NIR, aerial RGB/NIR/elevation, SPOT, NAIP, Sentinel-2, Sentinel-1 ascending, Sentinel-1, ALOS, Landsat-7, Landsat-8, MODIS.",optical; SAR; DEM; aerial,Scale-adaptive Joint Embedding Predictive Architecture (JEPA); modality-specific encoders/tokens projected into a shared latent space.,Transformer; JEPA,joint_embedding,Joint-embedding / contrastive-predictive encoder,"Reported/evaluated tasks include land-cover mapping, tree-species identification, crop-type classification, change detection/deforestation detection, climate-type classification, flood mapping, burn-scar mapping, and segmentation over datasets such as TreeSatAI-TS, PASTIS-HD, FLAIR, PLANTED, BraDD-S1TS, SICKLE, TimeSen2Crop, and Sen1Flood11.",semantic segmentation; land-cover mapping; scene classification; crop-type mapping; change detection; flood mapping; burn-scar mapping,Open,open,Open source: code and checkpoints available.,https://arxiv.org/abs/2412.14123,https://github.com/gastruc/AnySat,,,Trained on GeoPlex: 5 multimodal datasets and 11 sensors. Public sources reviewed do not report a single token count comparable to TerraMind.,Strong / emerging EO FM,Strong multimodal representation model; less generative than TerraMind.,anysat,https://arxiv.org/abs/2412.14123
DOFA,Earth observation foundation model,Vision / multimodal EO FM,Spectral satellite imagery across five EO sensors/modalities; wavelength/band metadata used as conditioning signal.,,Wavelength-conditioned dynamic hypernetwork; shared ViT/MAE-style vision backbone; masked image modeling plus distillation.,Transformer; MAE/MIM,transformer_masked,Transformer / masked-reconstruction encoder,"Evaluated on remote-sensing classification, semantic segmentation, object detection, and change-detection style benchmarks. Representative datasets include GEO-Bench tasks and common RS tasks such as EuroSAT, BigEarthNet, RESISC45, DOTA/DIOR-style detection, land-cover segmentation, and change detection depending on experiment.",semantic segmentation; scene classification; multi-label classification; object detection; change detection,Open,open,Open source: code and weights reported.,https://arxiv.org/abs/2403.15356,https://github.com/zhu-xlab/DOFA,,,Paper reports continual / hybrid pretraining across five EO modalities. Exact universal token count is not reported in the public abstract/source reviewed.,Strong EO FM,Important architecture family because later Copernicus-FM extends DOFA.,dofa,https://arxiv.org/abs/2403.15356
DOFA+,Earth observation foundation model,Vision / multimodal EO FM,Same DOFA idea extended to stronger non-EO and EO initialization; spectral EO images with wavelength-aware conditioning.,,DOFA with neural plasticity and hybrid continual pretraining; wavelength-conditioned dynamic hypernetwork adapted from powerful visual backbones such as DINOv2/ViT.,Transformer,generative_hybrid,Any-to-any generative / hybrid multimodal system,"22 datasets across 4 task families: image classification, semantic segmentation, object detection, and change detection. Named examples: m-BigEarthNet, m-ForestNet, m-Brick-Kiln, m-PV4GER, m-So2Sat, m-EuroSAT; segmentation tasks such as PV4GER-seg, NZ cattle, NeonTree, cashew plantation, South Africa crop type, Chesapeake land-cover; PANGAEA tasks such as burn scars, MADOS marine debris/oil spills, PASTIS, Sen1Floods11, DynamicEarthNet, crop-type mapping, SpaceNet7, AI4SmallFarms; plus RESISC45.",semantic segmentation; scene classification; multi-label classification; crop-type mapping; object detection; change detection; flood mapping; burn-scar mapping; water-body mapping,Partial / unclear,partial,"Open source / partial: model/code availability reported for DOFA family, but check exact DOFA+ checkpoint license before redistribution.",https://arxiv.org/abs/2403.15356,https://github.com/zhu-xlab/DOFA,,,DOFA+ reports strong EO adaptation after about 410K EO image tiles; no universal token count reported.,Strong EO FM,Good row to separate from DOFA because the training strategy and evaluation scale differ.,dofa,https://arxiv.org/abs/2403.15356
Galileo,Earth observation foundation model,Vision / multimodal EO FM,"Many EO modalities over space and time, including multispectral optical, SAR, elevation, weather, and pseudo-label/auxiliary layers.",optical; SAR; DEM; climate,Self-supervised multimodal encoder with masked modeling plus dual global/local contrastive losses.,Transformer; MAE/MIM,joint_embedding,Joint-embedding / contrastive-predictive encoder,"11 benchmarks across multiple tasks; representative tasks include crop mapping, flood detection, land-cover/land-use classification, segmentation, and multimodal transfer under missing-modality settings.",semantic segmentation; scene classification; crop-type mapping; flood mapping,Open,open,Open source: code released under MIT in public repo.,https://arxiv.org/abs/2502.09356,https://github.com/nasaharvest/galileo,,,Public abstract/source reviewed does not report a single token count. Uses global multimodal pretraining over space-time EO inputs.,Strong / emerging EO FM,A generalist multimodal EO model; exact modality/task breakdown should be checked from the full paper for final publication table.,galileo,https://arxiv.org/abs/2502.09356
Prithvi-EO-1.0,Earth observation foundation model,Vision / multimodal EO FM,NASA HLS Landsat + Sentinel-2 harmonized optical multispectral time series at 30 m.,optical; time series,Masked autoencoder with ViT backbone; spatiotemporal patch embeddings for EO time series.,Transformer; MAE/MIM,transformer_masked,Transformer / masked-reconstruction encoder,"Representative tasks: flood mapping, wildfire burn scar mapping, land-cover classification, crop classification/segmentation, and other HLS-based EO downstream tasks.",semantic segmentation; scene classification; crop-type mapping; flood mapping; burn-scar mapping,Open,open,Open source: weights and code released by NASA/IBM on Hugging Face/GitHub.,https://arxiv.org/abs/2310.18660,https://huggingface.co/ibm-nasa-geospatial,,,Pretrained on large HLS time-series corpus. Commonly reported model size: 100M parameters; token count not reported in the same way as TerraMind.,Strong EO FM for optical/HLS,Narrower than multimodal models but a major first-generation open EO FM.,prithvi-eo-1-0,https://arxiv.org/abs/2310.18660
Prithvi-EO-2.0,Earth observation foundation model,Vision / multimodal EO FM,"NASA HLS Landsat + Sentinel-2 optical multispectral time series at 30 m, with geolocation and date embeddings.",optical; time series,"MAE/ViT with 3D patch embeddings and temporal-location encodings; 300M, 300M-TL, 600M, and 600M-TL variants.",Transformer; MAE/MIM,transformer_masked,Transformer / masked-reconstruction encoder,"7 named downstream tasks/datasets: Sen1Floods11 flood detection, wildfire scar detection, burn scar intensity, Landslide4Sense landslide detection, US multi-temporal crop segmentation, European multi-temporal land-cover/crop classification, BioMassters above-ground biomass estimation.",semantic segmentation; scene classification; crop-type mapping; flood mapping; burn-scar mapping; regression / estimation; time-series analysis,Open,open,Open source: model weights and GitHub code available.,https://arxiv.org/abs/2412.02732,,https://huggingface.co/ibm-nasa-geospatial/Prithvi-EO-2.0-300M,,"4.2M global time-series samples, 45,568 validation samples, >7 years of HLS imagery; 300M and 600M parameter models.",Strong EO FM,Major upgraded Prithvi row; more robust global training than EO-1.0.,prithvi-eo-2-0,https://arxiv.org/abs/2412.02732
TESSERA,Earth observation foundation model,SAR / radar-specialized FM,Sentinel-1 SAR plus Sentinel-2 optical time series; pixel-wise multimodal annual surface representations.,optical; SAR; time series,Pixel-wise EO FM using Barlow Twins self-supervision and sparse temporal sampling; produces compact embeddings rather than only task-specific outputs.,,embedding_field,Embedding product / representation field,"Six representative benchmarks: TreeSatAI-TS tree species classification, PASTIS-R parcel segmentation, Austrian Crop classification, BioMassters above-ground biomass regression, Borneo canopy-height regression, Austrian Crop semantic segmentation. General use includes land-cover, crop, biomass, canopy, and environmental monitoring.",semantic segmentation; scene classification; crop-type mapping; regression / estimation,Open,open,"Open source: model weights, code, and embeddings/datasets reported as available.",https://arxiv.org/abs/2506.20380,https://github.com/ucam-eo/tessera,https://github.com/ucam-eo/geotessera,,"Produces global annual 10 m embeddings, 128-D latent representation, int8 embedding products; trained over petabyte-scale Sentinel data. Exact token count not reported in reviewed source.",Strong EO FM / embedding FM,"Very relevant because it supplies analysis-ready global embeddings, not only a model checkpoint.",tessera,https://arxiv.org/abs/2506.20380
AlphaEarth Foundations,Earth observation foundation model,Earth-system / climate FM,"Multisource EO and geospatial observations: optical, radar, 3D laser/LiDAR-like information, climate, Landsat/Sentinel and other public sources integrated into embedding fields.",optical; SAR; LiDAR; climate,"Embedding field model for global mapping from sparse labels; assimilates spatial, temporal, and measurement context into compact annual representations.",,embedding_field,Embedding product / representation field,"Evaluated/advertised for classification, regression, change detection, similarity search, land-use/land-cover mapping, ecosystem/habitat mapping, agriculture/crop mapping, and surface property estimation.",land-cover mapping; scene classification; crop-type mapping; change detection; regression / estimation,Closed,closed,Partial / closed: embeddings available through Google Earth Engine; full training code/weights not fully open in the same way as TerraMind/Prithvi.,https://arxiv.org/abs/2507.22291,,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_SATELLITE_EMBEDDING_V1_ANNUAL,https://deepmind.google/blog/alphaearth-foundations-helps-map-our-planet-in-unprecedented-detail/,Trained on petabytes of EO data; released as annual 64-band/64-D embedding fields from 2017 onward at roughly 10 m grid scale; about 16x smaller storage than some alternatives.,Strong Earth/EO embedding FM,Very strong as an embedding product; less open as a retrainable model.,alphaearth-foundations,https://arxiv.org/abs/2507.22291
